c/n,f/f,operator,type,St
483.0,22.10.21,Iberia,350-941,C
484.0,17.02.21,SAS,350-941,C
485.0,09.12.21,Singapore AL,350-941,C
487.0,14.12.21,Air China,350-941,C
488.0,25.02.21,Air France,350-941,C
489.0,22.04.21,China Eastern AL,350-941,C
490.0,19.01.22,British AW,350-1041,C
491.0,19.03.21,Air France,350-941,C
492.0,31.08.21,Virgin Atlantic AW,350-1041,C
493.0,04.04.22,THY Turkish AL,350-941,C
494.0,11.03.22,Singapore AL,350-941,C
495.0,27.01.22,British AW,350-1041,C
496.0,14.01.22,THY Turkish AL,350-941,C
497.0,09.04.21,Japan AL,350-941,C
499.0,29.04.21,SAS,350-941,C
500.0,18.05.21,Air France,350-941,C
502.0,14.05.21,Air France,350-941,C
503.0,25.07.22,Cathay Pacific AL,350-1041,C
504.0,23.02.22,Air China,350-941,C
505.0,21.10.21,China Eastern AL,350-941,C
506.0,14.02.22,China Southern AL,350-941,C
507.0,22.02.22,Virgin Atlantic AW,350-1041,C
509.0,26.08.22,Cathay Pacific AL,350-1041,C
510.0,08.07.21,Air France,350-941,C
512.0,30.03.22,China Southern AL,350-941,C
516.0,06.10.21,Finnair,350-941,C
517.0,12.05.21,Air China,350-941,C
520.0,15.09.21,Air France,350-941,C
524.0,03.09.21,Ethiopian AL,350-941,C
526.0,24.09.21,German Air Force,350-941,C
528.0,09.07.21,Air China,350-941,C
530.0,23.12.21,Delta AL,350-941,C
531.0,08.07.21,Japan AL,350-941,C
533.0,03.09.21,Air Caraibes,350-941,C
535.0,27.07.21,Japan AL,350-941,C
536.0,03.08.21,Japan AL,350-941,C
537.0,25.08.21,Air China,350-941,C
538.0,20.09.21,Japan AL,350-941,C
539.0,15.10.21,French Bee,350-1041,C
540.0,03.02.22,China Eastern AL,350-941,C
541.0,22.11.21,Japan AL,350-941,C
542.0,21.10.21,Ethiopian AL,350-941,C
543.0,14.01.22,Japan AL,350-941,C
544.0,13.12.21,Air France,350-941,C
545.0,07.01.22,Delta AL,350-941,C
546.0,08.02.22,Air France,350-941,C
547.0,07.03.22,British AW,350-1041,C
548.0,24.02.22,Air France,350-941,C
549.0,30.05.22,Iberia,350-941,C
550.0,01.12.21,Sichuan AL,350-941,C
551.0,25.03.22,Air France,350-941,C
552.0,17.03.22,Japan AL,350-941,C
556.0,30.11.22,Iberia,350-941,
557.0,07.11.22,Starlux AL,350-941,
559.0,26.04.22,World2fly,350-941,C
560.0,20.05.22,French Bee,350-1041,C
561.0,16.05.22,China Eastern AL,350-941,
562.0,20.05.22,Air France,350-941,C
563.0,22.07.22,British AW,350-1041,C
564.0,07.06.22,Singapore AL,350-941,C
565.0,15.06.22,THY Turkish AL,350-941,C
567.0,01.09.22,Iberia,350-941,C
568.0,04.07.22,China Southern AL,350-941,
569.0,06.07.22,Singapore AL,350-941,C
570.0,09.06.22,Air China,350-941,
571.0,26.10.22,Sichuan AL,350-941,
573.0,12.07.22,China Eastern AL,350-941,
574.0,28.09.22,Air China,350-941,
576.0,09.08.22,Air France,350-941,C
577.0,04.10.22,China Eastern AL,350-941,
578.0,27.09.22,Air France,350-941,C
579.0,17.10.22,Iberia,350-941,C
580.0,29.09.22,Delta AL,350-941,C
582.0,24.10.22,Ethiopian AL,350-941,C
583.0,08.11.22,China Southern AL,350-941,C
584.0,16.11.22,Cathay Pacific AL,350-1041,
587.0,28.11.22,Air China,350-941,
588.0,24.11.22,Delta AL,350-941,
600.0,10.11.22,Air Caraibes (?),350-1041,
