c/n;f/f;testreg;regi;operator;d/d;type;St
148;31.01.97;F-WWKD;PK-GPE;Garuda;25.02.97;330-341 ;C
149;04.09.96;F-WWJJ;9V-SJE;Singapore AL;17.10.96;340-313X;
;;N73797;7T-VKN;Khalifa AW lsd;08.12.01;;
;;D-ASIN;A6-ERT;Emirates AL lsd;10.05.04;;
;;;N149WC;WFBN-Willis Lease ret;26.06.13;;SCR
150;24.10.96;F-WWJT;C-FYKX;Air Canada;19.11.96;340-313X;
;;;HB-JMJ;Swiss Int'l AL lsd;03.05.07;;SCR
151;23.09.96;F-WWJY;V8-JBB;Brunei Gvmt ;11.10.96;340-213CJ;
;;;HZ-WBT4;Kingdom Holding Company;25.03.00;;
;;;5A-ONE;Afriqiyah AW/Libyan Gvmt;05.10.06;;C
152;28.10.96;F-WWJX;3B-NAY;Air Mauritius lsd ;13.11.96;340-313X;SCR
153;27.02.97;F-WWKY;PK-GPF;Garuda Indonesian AW;19.03.97;330-341 ;C
154;29.11.96;F-WWJI;C-FYKZ;Air Canada;19.12.96;340-313X;
;;;HB-JMM;Swiss Int'l AL lsd;04.02.08;;SCR
155;17.10.96;F-WWKF;VR-HLI;Cathay Pacific;20.11.96;330-341 ;
;;;B-HLI ;Cathay Pacific rr ;20.10.97;;
;;;;Dragonair tfd;18.11.13;;
;;;;Cathay Dragon nn;22.11.16;;STD
156;08.11.96;F-WWJK;SU-GBM;Egyptair;26.11.96;340-212 ;
;;;;Air Leisure lsd;05.01.15;;STD
157;18.11.96;F-WWJL;VR-HXE;Cathay Pacific;19.12.96;340-313X;
;;;B-HXE ;Cathay Pacific rr ;04.11.97;;SCR
158;09.01.97;F-WWJN;D-AIGM;Lufthansa ;28.01.97;340-313X;
;;;;Austrian AL lsd;02.07.12;;
;;;;Lufthansa ret;10.09.12;;C
159;04.12.96;F-WWJV;SU-GBN;Egyptair;20.12.96;340-212 ;
;;;;Air Leisure lsd;ar02.15;;STD
160;24.01.97;F-WWJO;VR-HXF;Cathay Pacific;30.01.97;340-313X;
;;;B-HXF ;Cathay Pacific rr ;11.11.97;;SCR
161;30.01.97;F-WWJQ;B-2383;China Eastern AL;12.03.97;340-313X;SCR
162;29.01.97;F-WWKK;HL7550;Korean Air;03.03.97;330-322 ;C
163;06.02.97;F-WWJR;9V-SJG;Singapore AL;01.03.97;340-313X;
;;D-ASIB;A6-ERO;Emirates AL lsd;16.04.04;;
;;EI-FXR;9H-AGJ;Hi Fly;14.06.17;;SCR
164;24.03.97;F-WWJA;G-VAIR;Virgin Atlantic lsd;21.04.97;340-313X;
;;;;Alnaser AL;23.12.14;;
;;;EP-MMD;Mahan AL;08.05.15;;C
165;20.03.97;F-WWKL;PK-GPG;Garuda;14.04.97;330-341 ;C
166;06.03.97;F-WWJZ;9V-SJH;Singapore AL;27.03.97;340-313X;
;;D-ASIC;A6-ERN;Emirates AL lsd;06.02.04;;
;;EI-GAB;9H-AGK;HiFly;12.07.17;;C
167;14.03.97;F-WWJZ;C-FYLC;Air Canada;27.03.97;340-313X;
;;;CC-CQG;LAN AL;06.07.07;;
;;;LN-RKP;SAS;29.10.13;;SCR
168;02.04.97;;F-GNIF;Air France lsd;17.04.97;340-313X;
;;;OH-LQF;Finnair lsd;09.12.10;;
;;;N6381S;Wilmington Trust Comp;15.12.15;;SCR
169;08.04.97;F-WWJC;OE-LAK;Austrian AL ;23.04.97;340-313X;
;;;HB-JMK;Swiss Int'l AL lsd;17.12.07;;SCR
170;04.04.97;F-WWJF;C-FYLD;Air Canada;29.04.97;340-313X;
;;;EC-KSE;Iberia lsd;05.06.08;;
;;;G-CSHJ;Air Canada ret;27.02.13;;
;;;LV-FPU;Aerolineas Argentinas slsd;23.12.13;;STD
171;02.04.97;F-WWKM;D-AERS;LTU ;22.04.97;330-322 ;
;;;C-FRAV;Khalifa AW lsd;30.05.01;;
;;;;Air Algerie slsd;19.01.03;;
;;;;Skyservice AL ret;08.04.03;;
;;;F-GJSV;Corsair lsd;13.06.03;;
;;;C-FRAV;Skyservice AL ret;27.04.04;;
;;;;MyTravel AW slsd;07.11.04;;
;;;D-AERS;LTU Int'l AW slsd;02.05.05;;
;;;;Air Berlin tfd;12.02.08;;
;;;EI-ETI;CALI 3;05.12.11;;
;;;;I-Fly lsd;18.04.12;;SCR
172;28.04.97;F-WWKI;HL7551;Korean Air;30.05.97;330-322 ;C
173;12.05.97;F-WWJS;F-OHPJ;Philippine AL ;30.05.97;340-313X;
;;;RP-C3430;Philippine AL rr;15.01.08;;SCR
174;06.05.97;;F-GNIG;Air France lsd;28.05.97;340-313X;
;;;OH-LQG;Finnair lsd;07.02.11;;
;;;N537SK;Universal Asset Management;18.12.15;;SCR
175;30.04.97;F-WWJE;C-FYLG;Air Canada;28.05.97;340-313X;
;;;HB-JMN;Swiss Int'l AL;04.04.08;;
;;;2-HJMN;;;;SCR
176;05.06.97;F-WWJB;F-OHPK;Philippine AL ;24.06.97;340-313X;
;;;RP-C3431;Philippine AL rr;30.07.08;;SCR
177;07.06.97;F-WWKO;VR-HYE;Dragonair lsd;20.06.97;330-342 ;
;;;B-HYE ;Dragonair rr ;s1.07.97;;
;;;C-GCTS;Air Transat lsd;30.06.09;;
;;N177AE;;;;;STD
178;11.06.97;F-WWJD;SU-GBO;Egyptair;30.06.97;340-212 ;
;;;;Air Leisure lsd;00.12.14;;STD
179;29.04.97;F-WWJY;C-FYLU;Air Canada;30.05.97;340-313X;
;;;HB-JMO;Swiss Int'l AL;26.02.08;;
;;2-HJMO;;;;;SCR
180;01.08.97;F-WWJU;TC-JDN;THY Turkish AL;19.08.97;340-313X;
;;;;Global Aviation;15.03.19;;STD
181;13.08.97;;F-WWKA;PROTO 330-200 #1;;330-202 ;
;;;;Proto 330-200 RR engs;;*242;
;;;OE-LAO;Austrian AL ;17.01.00;*223;
;;;CS-TOH;TAP Air Portugal;20.06.07;;SCR
182;16.06.97;F-WWJM;B-2384;China Eastern AL;30.06.97;340-313X;SCR
183;09.07.97;F-WWKP;F-OHZM;Philippine AL ;30.07.97;330-301 ;
;;;RP-C3330;Philippine AL rr;24.06.08;;SCR
184;28.07.97;F-WWKG;F-OHZN;Philippine AL ;27.08.97;330-301 ;
;;;RP-C3331;Philippine AL rr;10.06.08;;SCR
185;09.07.97;F-WWJK;9V-SJI;Singapore AL;31.07.97;340-313X;
;;D-AGBM;A6-ERP;Emirates AL lsd;08.03.04;;
;;EI-GAC;9H-FOX;Hi Fly;05.06.17;;C
186;22.08.97;;F-GLZJ;Air France;16.09.97;340-313X;SCR
187;28.08.97;F-WWJO;F-OHPL;Philippine AL ;24.09.97;340-313X;
;;;RP-C3432;Philippine AL rr;11.02.08;;SCR
188;29.08.97;F-WWKQ;F-OHZO;Philippine AL ;24.09.97;330-301 ;
;;;RP-C3332;Philippine AL rr;25.03.08;;SCR
189;15.10.97;F-WWKS;F-OHZQ;Philippine AL ;03.11.97;330-301 ;
;;;RP-C3335;Philippine AL rr;15.07.08;;SCR
190;17.09.97;F-WWJX;9V-SJJ;Singapore AL;16.10.97;340-313X;
;;D-AJGP;A6-ERQ;Emirates AL;27.02.04;;
;;;CS-TQY;Hi Fly;28.05.13;;
;;;9H-TQY;Hi Fly Malta tfd;21.12.21;;C
191;05.09.97;F-WWKR;F-OHZP;Philippine AL ;29.09.97;330-301 ;
;;;RP-C3333;Philippine AL rr;04.03.08;;SCR
192;19.09.97;F-WWJJ;B-2385;Air China ;07.10.97;340-313X;
;;;B-HMX;Cathay Pacific lsd;    11.99;;
;;;B-2385;Air China ret;07.11.01;;
;;;;China Southwest AL;13.12.01;;
;;;;Air China ret;13.04.02;;
;;;F-WJKH;;s10.01.15;;SCR
193;07.10.97;F-WWJR;EC-GPB;Iberia;21.10.97;340-313X;
;;;;Audeli Air Express tfd;21.04.07;;
;;;;Iberia ret;18.03.08;;
;;;LV-FPV;Aerolineas Argentinas lsd;12.10.13;;SCR
194;30.09.97;F-WWJP;3B-NBD;Air Mauritius ;22.10.97;340-313X;SCR
195;04.12.97;F-WWKJ;;PROTO 330-200 #2;;330-200 ;
;;;OE-LAN;Austrian AL ;25.05.99;*223;
;;;CS-TOI;TAP Air Portugal;12.07.07;;SCR
196;18.09.97;F-WWJI;F-OHPM;Philippine AL ;22.10.97;340-313X;
;;;RP-C3434;Philippine AL rr;07.07.08;;SCR
197;22.10.97;F-WWJL;EC-GQK;Iberia;10.11.97;340-313X;
;;F-WJKP;ZS-SXH;South African AW lsd;29.11.10;;STD
198;26.11.97;F-WWKT;F-OHZR;Philippine AL ;26.01.98;330-301 ;
;;;RP-C3336;Philippine AL rr;17.06.08;;SCR
199;28.10.97;F-WWJN;B-2386;Air China ;21.11.97;340-313X;
;;;B-HMY;Cathay Pacific lsd;s22.12.99;;
;;;B-2386;Air China ret;19.10.01;;
;;;;China Southwest AL;27.11.01;;
;;;;Air China ret;01.03.03;;
;;F-WTDH;YV3292;Avior AL;06.09.16;;
;;;YV643T;Conviasa;25.07.20;;
;;;YV3507;Conviasa rr;31.12.20;;C
200;17.12.97;F-WWKH;F-OHZS;Philippine AL ;29.01.98;330-301 ;
;;;RP-C3337;Philippine AL rr;01.07.08;;SCR
201;28.10.97;F-WWJQ;B-2387;Air China ;26.11.97;340-313X;
;;;B-HMZ;Cathay Pacific AL lsd;30.10.99;;
;;;B-2387;Air China ret;01.10.01;;
;;;;China Southwest AL;08.11.01;;
;;;;Air China mgd;s13.04.02;;
;;F-WJKM;F-WTDI;AFS rr;08.16;;SCR
202;18.11.97;F-WWJS;9V-SJK;Singapore AL;11.12.97;340-313X;
;;D-ASID;A6-ERR;Emirates AL;14.04.04;;
;;;CS-TQZ;Norwegian Air Shuttle lsd;30.06.13;;
;;;;SAS lsd;20.11.13;;
;;;;XL AW France slsd;17.07.14;;
;;;;Hi Fly ret;02.09.14;;
;;;;Saudi Arabian AL slsd;08.09.14;;
;;;;Hi Fly ret;01.12.14;;
;;;9H-TQZ;Hi Fly Malta;02.21;;C
203;16.01.98;F-WWKI;F-OHZT;Philippine AL ;10.02.98;330-301 ;
;;;RP-C3340;Philippine AL rr;23.03.08;;SCR
204;19.12.97;F-WWJB;V8-AC3;Brunei Gvmt ;27.11.98;340-213X;
;;;D-ASFB;Brunei Gvmt rr;20.08.02;;
;;;V8-AC3;Brunei Gvmt rr;28.02.03;;
;;;HZ-HMS;Saudi Arabian Gvmt;00.02.07;;
;;;HZ-HMS2;Saudi Arabian Gvmt;25.11.10;;C
205;20.01.98;F-WWKK;C-GGWA;Canada 3000 lsd;29.05.98;330-202 ;
;;F-WQQM;I-VLEC;Volare AL lsd;19.04.02;;
;;;EC-IYB;Air Madrid lsd;13.05.04;;
;;;;Air Comet lsd;26.06.07;;
;;;EC-KIL;Air Comet rr;25.07.07;;
;;;;Royal Air Maroc lsd;12.11.08;;
;;;;Air Mediterranee slsd;12.01.09;;
;;N271LF;PK-YVJ;Metro Batavia lsd;28.12.09;;
;;;EI-FAO;ILFC Ireland;19.03.13;;SCR
206;15.04.98;F-WWKM;HL7552;Korean Air;19.06.98;330-322 ;
;;;HL7524;Korean Air rr;s24.01.99;;C
207;05.12.97;;F-GLZK;Air France;02.01.98;340-313X;
;;;;Joon tfd;04.04.18;;
;;;;Air France tfd;26.06.19;;
;;;YA-WTA;Kam Air;03.12.20;;
;;;9H-;AirHub AL;27.07.21;;C
208;16.01.98;F-WWJC;B-HXG ;Cathay Pacific;12.02.98;340-313X;
;;2-BHXG;;AerFin;15.06.17;;SCR
209;15.04.98;F-WWKN;HS-TEJ;Thai AW Int ;26.08.98;330-322 ;
;;;2-STEJ;AerCap Dutch Aircraft Leasing IV;r18.10.17;;SCR
210;23.01.98;;F-GLZL;Air France;20.02.98;340-313X;
;;;;Air Madagascar lsd;10.04.12;;
;;;TF-EAB;Air Madagascar;19.03.13;;STD
211;27.03.98;F-WWKL;C-GGWB;Canada 3000;29.04.98;330-202 ;
;;F-WQQN;I-VLED;Volare AL lsd;02.07.02;;
;;;EC-IYN;Air Madrid lsd;20.05.04;;
;;;;Air Comet lsd;15.05.07;;
;;;EC-KIM;Air Comet rr;25.07.07;;
;;N272LF;CS-TQP;Hi Fly lsd;15.09.11;;
;;;;Saudi Arabian AL slsd;26.05.14;;
;;;;Hi Fly ret;10.01.15;;
;;;9H-TQP;Hi Fly Malta tfd;20.12.21;;C
212;04.02.98;F-WWJU;9V-SJL;Singapore AL;19.03.98;340-313X;
;;D-ABGM;A4O-LG;Gulf Air lsd;14.06.03;;
;;;A9C-LG;Gulf Air rr;01.01.08;;
;;;EC-MDG;Plus Ultra Lineas Aereas;01.09.14;;
;;;EC-MFA;Plus Ultra Lineas Aereas rr;02.03.15;;SCR
213;20.02.98;F-WWJM;D-AIGN;Lufthansa ;12.03.98;340-313X;C
214;25.02.98;F-WWJY;G-VELD;Virgin Atlantic lsd;16.03.98;340-313X;SCR
215;13.03.98;F-WWJV;9V-SJM;Singapore AL;23.04.98;340-313X;
;;D-ASIJ;A4O-LH;Gulf Air lsd;27.06.03;;
;;;A9C-LH;Gulf Air rr;17.11.07;;
;;;EC-MFB;Plus Ultra Lineas Aereas;02.03.15;;SCR
216;01.03.98;F-WWJK;C-GBQM;Air Canada lsd;14.05.98;340-313X;
;;;6Y-JMM;Air Jamaica lsd;23.05.02;;
;;;TC-JIJ;THY Turkish AL lsd;27.11.08;;
;;;EI-ETY;ILFC Ireland;12.04.12;;
;;;AP-EDE;AirBlue lsd;26.11.12;;
;;;N282AT;BOU;20.03.14;;SCR
217;01.02.98;F-WWJG;EC-GUP;Iberia;26.05.98;340-313X;SCR
218;12.03.98;F-WWJT;B-HXH;Cathay Pacific;31.03.98;340-313X;SCR
219;12.05.98;F-WWKO;HL7525;Korean Air;26.06.98;330-322 ;W/O
220;02.06.98;F-WWJO;B-HXI;Cathay Pacific;23.06.98;340-313X;SCR
221;03.06.98;F-WWJA;EC-GUQ;Iberia;25.06.98;340-313X;SCR
222;10.07.98;F-WWKP;HL7538;Korean Air;31.08.98;330-223;
;;;;Cathay Pacific slsd;     06.00;;
;;;;Korean Air ret;26.03.02;;C
223;15.07.98;F-WWKQ;OE-LAM;Austrian AL ;03.08.98;330-223;
;;;;Royal Air Maroc lsd;19.02.01;;
;;;;Austrian AL ret;11.03.01;;
;;;CS-TOJ;TAP Air Portugal;31.07.07;;SCR
224;30.09.98;F-WWKD;HS-TEK;Thai AW Int ;30.12.98;330-322 ;SCR
225;18.05.98;F-WWJZ;G-VFAR;Virgin Atlantic ;12.06.98;340-313X;SCR
226;21.08.98;F-WWKR;HL7539;Korean Air;08.09.98;330-222 ;
;;;;Cathay Pacific slsd;     06.00;;
;;;;Korean Air ret;05.05.01;;C
227;09.06.98;F-WWJL;B-HXJ;Cathay Pacific;28.07.98;340-313X;SCR
228;02.07.98;F-WWJI;B-HXK;Cathay Pacific;06.08.98;340-313X;SCR
229;10.08.98;F-WWKS;HB-IQA;Swissair;04.09.98;330-223 ;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;OO-SFY;Brussels AL;07.10.11;;SCR
230;28.08.98;F-WWKT;OO-SFP;Sabena;16.09.98;330-222 ;
;;F-WIHL;OY-GRN;Air Greenland lsd;06.08.02;;C
231;21.08.98;F-WWKU;HS-TEL;Thai AW Int ;23.09.98;330-322 ;
;;;D-AAEC;DHL Air-EAT;09.18;*322F;
;;;EI-HEC;ASL AL Ireland;25.09.19;;C
232;08.10.98;F-WWKV;PT-MVA;TAM Brazil lsd;23.11.98;330-223;
;;;;South African AW slsd;10.12.03;;
;;;A6-EYX;Etihad AW lsd;05.06.04;;
;;;PT-MVA;TAM ret;23.08.06;;SCR
233;17.07.98;F-WWJJ;D-AIGO;Lufthansa ;07.08.98;340-313X;C
234;22.09.98;F-WWKF;B-HYF;Dragonair ;29.10.98;330-342 ;
;;;;Cathay Dragon nn;22.11.16;;STD
235;24.09.98;F-WWJN;SX-DFA;Olympic AW;29.01.99;340-313X;
;;;;Olympic AL nn;12.12.03;;
;;;N235KS;AAG;11.01.12;;SCR
236;21.09.98;F-WWJP;9V-SJN;Singapore AL;30.09.98;340-313X;
;;D-AIFL;A6-ERM;Emirates AL;09.01.04;;
;;EI-GAD;9H-JAI;Hi Fly;02.06.17;;C
237;24.09.98;;F-GLZM;Air France;23.10.98;340-313X;SCR
238;12.10.98;F-WWKY;PT-MVB;TAM Brazil lsd;23.11.98;330-223;
;;;;South African AW slsd;10.12.03;;
;;;A6-EYY;Etihad AW slsd;05.06.04;;
;;;PT-MVB;TAM Brazil ret;01.04.05;;SCR
239;31.08.98;F-WWJC;SX-DFB;Olympic AW;29.01.99;340-313X;
;;;;Olympic AL nn;12.12.03;;
;;;N239KS;AAG;11.01.12;;SCR
240;;F-WWKZ;HB-IQB;Swissair;09.11.98;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;F-OPTP;Air Caraibes;08.12.03;;
;;;F-GRTP;Sabena Technics BOD SAS lsd;29.05.09;;
;;F-ZWUG;F-RARF;French Air Force;08.11.10;;C
241;12.11.98;F-WWKF;HL7540;Korean Air;30.11.98;330-322 ;C
242;16.11.98;F-WWJD;B-2388;China Southwest AL;10.12.98;340-313X;
;;;;Garuda lsd;    .03.01;;
;;;;China Southwest AL ret;23.06.01;;
;;;;Air China;13.09.03;;
;;F-WJKN;PZ-TCR;Surinam AW;23.12.15;;
;;;N365JS;AELF-Aircraft Engine Lease Finance;r13.08.20;;STD
243;23.10.98;F-WWJE;B-2389;China Southwest AL;09.11.98;340-313X;
;;;;Garuda lsd;    .03.01;;
;;;;China Southwest AL ret;00.10.01;;
;;;;Air China;01.03.03;;
;;;F-WJKO;Airbus Financial Svcs;09.15;;SCR
244;04.11.98;F-WWKG;B-HLL;Cathay Pacific;25.11.98;330-342 ;
;;;;Dragonair ;24.04.12;;
;;;;Cathay Dragon nn;22.11.16;;STD
245;04.11.98;;F-GLZN;Air France;30.11.98;340-313X;
;;;;Joon tfd;22.06.18;;
;;;;Air France tfd;26.06.19;;
;;;9H-NFC;Air X Charter;21.04.21;;
;;;TF-NFC;Air Atlanta Icelandic;03.11.21;;C
246;09.11.98;;F-GLZO;Air France;04.12.98;340-313X;
;;;;Joon tfd;r11.05.18;;
;;;;Air France tfd;26.06.19;;SCR
247;07.12.98;F-WWKH;PT-MVC;TAM Brazil lsd;22.12.98;330-223;SCR
248;18.12.98;F-WWKL;A6-EKQ;Emirates AL ;10.03.99;330-243;
;;;C-GJDA;Air Transat;17.04.16;;
;;;G-TCCF;Thomas Cook AL lsd;17.10.18;;
;;;;Condor slsd;15.11.18;;
;;;C-GJDA;Air Transat ret;08.05.19;;
;;LZ-;;;;;STD
249;23.11.98;F-WWKI;HB-IQC;Swissair;11.12.98;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;OO-SFZ;Brussels AL lsd;17.02.12;;SCR
250;13.01.99;F-WWKK;C-GGTS;Air Transat lsd;23.02.99;330-243;
;;;;Garuda Indonesia lsd;20.10.09;;
;;;;Air Transat ret;20.12.10;;
;;;;Garuda Indonesian AW lsd;30.09.11;;
;;;;Air Transat ret;11.12.11;;
;;;;Garuda Indonesian AW lsd;18.09.12;;
;;;;Air Transat ret;29.11.12;;
;;;;XL AW France;20.12.12;;
;;;;Garuda Indonesian AW lsd;06.09.13;;
;;;;Air Transat ret;18.11.13;;
;;;;XL AW France lsd;20.01.14;;
;;;;Air Transat ret;07.05.14;;
;;;;Garuda Indonesian AW lsd;28.08.14;;
;;;;Air Transat ret;07.11.14;;
;;;N250AH;BoU-Bank of Utah;r31.03.22;;STD
251;26.01.99;F-WWKO;A6-EKR;Emirates AL;31.03.99;330-243;
;;;C-GUFR;Air Transat;18.04.16;;
;;;G-TCCG;Thomas Cook AL lsd;28.10.18;;
;;;;Condor slsd;15.11.18;;
;;;;Thomas Cook AL ret;12.04.19;;
;;;C-GUFR;Air Transat ret;02.05.19;;C
252;09.12.98;F-WWJM;D-AIGP;Lufthansa;30.12.98;340-313X;C
253;07.01.99;F-WWKM;HB-IQD;Swissair lsd;05.02.99;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;F-OFDF;Air Caraibes lsd;26.01.04;;C
254;06.04.99;F-WWKT;G-MLJL;Airtours International;15.06.99;330-243;
;;;;MyTravel AW nn;01.05.02;;
;;;;Thomas Cook AL;21.11.07;;
;;;;Garuda Indonesian AW lsd;18.09.12;;
;;;;Thomas Cook AL ret;29.11.12;;SCR
255;15.01.99;F-WWKB;HB-IQE;Swissair lsd;19.02.99;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;9M-MKU;Malaysian AL lsd;10.02.04;;
;;;VN-A369;Vietnam AL lsd;29.03.07;;
;;;JY-JAJ;Jordan Aviation lsd;27.03.12;;
;;;;Conviasa slsd;25.07.13;;
;;;;Saudi Arabian AL slsd;10.11.13;;
;;;LZ-AWA;BH Air lsd;04.06.14;;SCR
256;05.01.99;F-WWKN;HL7554;Korean Air;30.08.99;330-323X;C
257;28.01.99;F-WWJS;C-GDVV;Air Canada lsd;11.02.99;340-313X;
;;;6Y-JMP;Air Jamaica lsd;05.03.02;;
;;;TC-JIK;THY Turkish AL;06.09.08;;
;;;AP-EDF;AirBlue lsd;29.09.12;;
;;N281AT;M-ABIG;BOU;20.03.14;;
;;EY-680;EP-AJA;Meraj Air;15.09.15;;
;;;EP-DAA;Dena AW;by11.17;;
;;;EP-IGA;Iranian Government rr;07.06.18;;C
258;09.02.99;F-WWKQ;HL7552;Korean Air;12.03.99;330-223;
;;;;Cathay Pacific slsd;     06.00;;
;;;;Korean Air ret;29.05.02;;C
259;03.02.99;F-WWKP;PT-MVD;TAM Brazil;28.06.99;330-223;
;;;A6-EYB;Etihad AW lsd;21.11.03;;
;;;PT-MVD;TAM ret;26.07.06;;SCR
260;04.02.99;;F-GLZP;Air France;25.02.99;340-313X;
;;;;Joon tfd;r23.03.18;;
;;;;Air France tfd;26.06.19;;SCR
261;09.03.99;F-WWKR;G-SMAN;Monarch AL;26.03.99;330-243;
;;;;Garuda Indonesian AW lsd;08.10.10;;
;;;;Monarch AL;20.12.10;;
;;;;Garuda Indonesian AW lsd;07.09.13;;
;;;;Monarch AL ret;17.11.13;;
;;;9M-AZL;NAS/Eagleexpress Air Charter;30.11.15;;
;;G-GGEN;EC-MNY;Wamos Air;07.02.17;;STD
262;12.02.99;F-WWKS;HB-IQF;Swissair lsd;12.03.99;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;9M-MKT;Malaysian AL lsd;23.01.04;;
;;;VN-A370;Vietnam AL lsd;13.04.07;;
;;;CS-TQW;Hi Fly lsd;27.07.12;;
;;;;Boliviana de Aviacion;07.12.12;;
;;;;Hi Fly ret;07.06.13;;SCR
263;05.03.99;F-WWJU;OE-LAL;Austrian AL ;24.03.99;340-313X;
;;;HB-JML;Swiss Int'l AL lsd;06.08.07;;SCR
264;11.02.99;F-WWJY;B-2390;China Southwest AL;31.03.99;340-313X;
;;;;Garuda lsd;s21.02.00;;
;;;;China Southwest AL ret;12.07.01;;
;;;;Air China tfd;03.08.03;;
;;F-WXAF;;Airbus;;;SCR
265;23.02.99;F-WWKU;G-EOMA;Monarch AL;26.04.99;330-243;
;;;;Garuda Indonesian AW lsd;29.09.11;;
;;;;Monarch AL ret;01.12.12;;
;;;EC-MJS;Wamos Air;03.06.16;;STD
266;04.06.99;F-WWKG;G-MDBD;Airtours International;24.06.99;330-243;
;;;;Garuda lsd;05.03.01;;
;;;;MyTravel AW ret;29.05.03;;
;;;;Thomas Cook AL;21.11.07;;
;;;;Garuda Indonesian AW lsd;30.09.11;;
;;;;Thomas Cook AL ret;11.12.11;;SCR
267;16.04.99;F-WWKZ;HL7553;Korean Air;04.06.99;330-323X;C
268;02.04.99;F-WWJG;3B-NBE;Air Mauritius;16.04.99;340-313X;STD
269;13.04.99;F-WWKV;EI-LAX;Aer Lingus;29.04.99;330-202;
;;;;Novair lsd;29.11.13;;
;;;;Aer Lingus ret;01.04.14;;SCR
270;31.03.99;F-WWJP;TC-JIH;THY Turkish AL;22.04.99;340-313X;
;;;2-AVRC;Avro Capital;16.05.21;;STD
271;17.03.99;F-WWKY;C-GITS;Air Transat lsd;28.04.99;330-243;
;;;;Garuda Indonesian AW slsd;18.10.09;;
;;;;Air Transat ret;03.01.10;;
;;;;Garuda Indonesian AW slsd;10.10.10;;
;;;;Air Transat ret;18.12.10;;
;;;;Garuda Indonesian AW slsd;29.09.11;;
;;;;Air Transat ret;11.12.11;;
;;;;Garuda Indonesian AW slsd;17.09.12;;
;;;;Air Transat ret;28.11.12;;
;;;;Garuda Indonesian AW slsd;09.09.13;;
;;;;Air Transat ret;17.11.13;;
;;;;Garuda Indonesian AW slsd;30.08.14;;
;;;;Air Transat ret;07.11.14;;
;;;OY-VVK;Thomas Cook AL Scandinavia lsd;07.12.18;;
;;;C-GITS;Air Transat ret;14.04.19;;
;;;N271AD;BoU-Bank of Utah;r22.04.22;;STD
272;07.05.99;F-WWKE;C-GGWC;Canada 3000 lsd;28.05.99;330-202;
;;;F-WQQL;PAC&TI;25.02.02;;
;;;I-VLEE;Volare AL lsd;00.08.02;;
;;;EI-DIR;Calliope Ltd ret;18.11.04;;
;;;A6-EYV;Etihad AW lsd;04.02.05;;
;;;EI-DIR;Air One lsd;22.05.08;;
;;;;Alitalia;13.01.09;;
;;;JU-1332;Eznis AW;04.11.22;;C
273;04.05.99;F-WWJT;C-GDVW;Air Canada;02.06.99;340-313X;
;;;9M-XAB;AirAsia X slsd;03.02.09;;
;;;;Air Algerie slsd;11.07.12;;
;;;;AirAsia X ret;05.09.12;;
;;;;Conviasa slsd;03.11.14;;
;;;;AirAsia X ret;02.02.15;;SCR
274;28.04.99;F-WWJI;D-AIGR;Lufthansa;18.05.99;340-313X;
;;;16+01;German Air Force;10.06.09;;
;;;98+47;German Air Force;01.02.11;;
;;;16+01;German Air Force;00.03.11;;C
275;23.04.99;F-WWKF;HB-IQG;Swissair;26.05.99;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;VN-A371;Vietnam AL lsd;17.09.09;;
;;;2-AERD;Aircraft Lotus;r20.10.17;;SCR
276;27.05.99;F-WWKD;A4O-KA;Gulf Air;09.06.99;330-243;
;;;A9C-KA;Gulf Air rr;10.12.07;;SCR
277;07.06.99;F-WWKO;C-GFAF;Air Canada;13.01.00;330-343E;C
278;08.06.99;F-WWJV;C-GDVZ;Air Canada;28.06.99;340-313X;
;;;9M-XAC;AirAsia X slsd;03.06.09;;
;;;;Conviasa slsd;04.09.14;;
;;;;AirAsia X ret;04.11.14;;
;;D-AAAM;N278TA;Lufthansa Technik;s09.03.16;;
;;;YA-KMT;Kam Air;03.02.17;;C
279;30.08.99;F-WWYB;C-GFAH;Air Canada;15.10.99;330-343E;C
280;13.07.99;F-WWJJ;SX-DFC;Olympic AW;14.10.99;340-313X;
;;;;Olympic AL nn;12.12.03;;
;;;;Olympic Air;29.09.09;;
;;;N280KS;AAG;11.01.12;;
;;;UP-A4002;Bek Air;14.02.17;;
;;;;Kam Air;s30.06.17;;
;;;YK-AZB;Syrianair;17.03.20;;C
281;03.06.99;F-WWKI;A4O-KB;Gulf Air;24.06.99;330-243;
;;;A9C-KB;Gulf Air rr;07.12.07;;SCR
282;18.06.99;F-WWJX;9V-SJO;Singapore AL;08.07.99;340-313X;
;;D-ASIL;A4O-LJ;Gulf Air lsd;01.03.04;;
;;;A9C-LJ;Gulf Air rr;26.11.07;;
;;;M-ABGQ;Falak Three Ltd;06.02.14;;
;;;EX-34004;Mahan Air;03.07.14;;
;;;EP-MMC;Mahan Air;22.08.14;;C
283;23.06.99;F-WWKH;A6-EKS;Emirates AL;07.07.99;330-243;
